DATE_TIME,SITE_ID,COSMOS_VWC,D86_75M,SWE,SNOW,ALBEDO,PE
2016-11-23,SPENF,-9999,-9999,-9999,0.0,0.15,-9999
2016-11-24,SPENF,36.0,14.4,-9999,0.0,0.13,0.6
2016-11-25,SPENF,35.1,14.57,-9999,0.0,0.14,0.4
2016-11-26,SPENF,34.5,14.68,-9999,0.0,0.14,0.3
2016-11-27,SPENF,34.6,14.66,-9999,0.0,0.14,0.3
2016-11-28,SPENF,35.7,14.45,-9999,0.0,0.15,0.5
2016-11-29,SPENF,37.3,14.17,-9999,0.0,0.16,0.5
2016-11-30,SPENF,36.8,14.26,-9999,0.0,0.15,0.4
2016-12-01,SPENF,33.2,14.94,-9999,0.0,0.14,0.3
2016-12-02,SPENF,34.7,14.64,-9999,0.0,0.12,0.3
2016-12-03,SPENF,32.9,15.0,-9999,0.0,0.14,0.3
2016-12-04,SPENF,35.4,14.51,-9999,0.0,0.16,0.5
2016-12-05,SPENF,33.4,14.9,-9999,0.0,0.14,0.2
2016-12-06,SPENF,35.5,14.49,-9999,0.0,0.13,0.2
2016-12-07,SPENF,37.0,14.22,-9999,0.0,0.14,0.1
2016-12-08,SPENF,37.5,14.13,-9999,0.0,0.16,0.2
2016-12-09,SPENF,36.1,14.38,-9999,0.0,0.11,0.1
2016-12-10,SPENF,37.5,14.13,-9999,0.0,0.14,0.2
2016-12-11,SPENF,35.5,14.49,-9999,0.0,0.13,0.5
2016-12-12,SPENF,34.7,14.64,-9999,0.0,0.13,-9999
2016-12-13,SPENF,38.9,13.9,-9999,0.0,0.12,0.0
2016-12-14,SPENF,37.6,14.12,-9999,0.0,0.16,0.5
2016-12-15,SPENF,37.8,14.08,-9999,0.0,0.13,0.2
2016-12-16,SPENF,37.5,14.13,-9999,0.0,0.16,0.3
2016-12-17,SPENF,37.1,14.2,-9999,0.0,0.16,0.3
2016-12-18,SPENF,36.9,14.24,-9999,0.0,0.14,0.2
2016-12-19,SPENF,34.2,14.74,-9999,0.0,0.12,0.1
2016-12-20,SPENF,32.9,15.0,-9999,0.0,0.15,0.4
2016-12-21,SPENF,35.2,14.55,-9999,0.0,0.13,0.5
2016-12-22,SPENF,36.7,14.27,-9999,0.0,0.16,0.5
2016-12-23,SPENF,37.7,14.1,-9999,0.0,0.14,0.7
2016-12-24,SPENF,37.2,14.19,-9999,0.0,0.16,1.2
2016-12-25,SPENF,34.6,14.66,-9999,0.0,0.15,1.0
2016-12-26,SPENF,34.1,14.76,-9999,0.0,0.18,1.5
2016-12-27,SPENF,33.7,14.84,-9999,0.0,0.17,0.1
2016-12-28,SPENF,34.2,14.74,-9999,0.0,0.17,0.3
2016-12-29,SPENF,36.4,14.33,-9999,0.0,0.21,0.4
2016-12-30,SPENF,37.4,14.15,-9999,0.0,0.15,0.3
2016-12-31,SPENF,35.2,14.55,-9999,0.0,0.13,0.6
2017-01-01,SPENF,37.7,14.1,-9999,0.0,0.16,0.3
2017-01-02,SPENF,36.3,14.34,-9999,0.0,0.17,0.5
2017-01-03,SPENF,37.1,14.2,-9999,0.0,0.14,0.4
2017-01-04,SPENF,33.8,14.82,-9999,0.0,0.17,0.9
2017-01-05,SPENF,31.7,15.26,-9999,0.0,0.16,0.4
2017-01-06,SPENF,36.3,14.34,-9999,0.0,0.13,0.3
2017-01-07,SPENF,36.8,14.26,-9999,0.0,0.12,0.0
2017-01-08,SPENF,35.7,14.45,-9999,0.0,0.12,0.1
2017-01-09,SPENF,36.8,14.26,-9999,0.0,0.15,0.5
2017-01-10,SPENF,35.6,14.47,-9999,0.0,0.14,0.6
2017-01-11,SPENF,35.5,14.49,-9999,0.0,0.16,1.5
2017-01-12,SPENF,32.9,15.0,-9999,0.0,0.14,0.6
2017-01-13,SPENF,33.2,14.94,-9999,0.0,0.15,1.0
2017-01-14,SPENF,32.2,15.15,-9999,0.0,0.17,0.8
2017-01-15,SPENF,35.8,14.44,-9999,0.0,0.13,0.1
2017-01-16,SPENF,40.4,13.67,-9999,0.0,0.12,0.1
2017-01-17,SPENF,37.5,14.13,-9999,0.0,0.12,0.1
2017-01-18,SPENF,38.4,13.98,-9999,0.0,0.13,0.2
2017-01-19,SPENF,37.7,14.1,-9999,0.0,0.12,0.2
2017-01-20,SPENF,36.3,14.34,-9999,0.0,0.14,0.4
2017-01-21,SPENF,34.6,14.66,-9999,0.0,0.12,0.2
2017-01-22,SPENF,34.3,14.72,-9999,0.0,0.13,0.4
2017-01-23,SPENF,35.0,14.58,-9999,0.0,0.13,0.4
2017-01-24,SPENF,37.0,14.22,-9999,0.0,0.16,0.4
2017-01-25,SPENF,35.2,14.55,-9999,0.0,0.16,0.5
2017-01-26,SPENF,32.3,15.13,-9999,0.0,0.13,0.5
2017-01-27,SPENF,34.6,14.66,-9999,0.0,0.13,0.3
2017-01-28,SPENF,35.8,14.44,-9999,0.0,0.13,0.2
2017-01-29,SPENF,36.6,14.29,-9999,0.0,0.14,0.3
2017-01-30,SPENF,36.0,14.4,-9999,0.0,0.13,0.5
2017-01-31,SPENF,35.3,14.53,-9999,0.0,0.11,0.2
2017-02-01,SPENF,37.5,14.13,-9999,0.0,0.12,0.2
2017-02-02,SPENF,37.1,14.2,-9999,0.0,0.12,0.4
2017-02-03,SPENF,35.1,14.57,-9999,0.0,0.15,0.9
2017-02-04,SPENF,36.3,14.34,-9999,0.0,0.16,0.8
2017-02-05,SPENF,36.1,14.38,-9999,0.0,0.13,0.3
2017-02-06,SPENF,35.2,14.55,-9999,0.0,0.14,0.4
2017-02-07,SPENF,36.6,14.29,-9999,0.0,0.14,0.5
2017-02-08,SPENF,36.6,14.29,-9999,0.0,0.14,0.4
2017-02-09,SPENF,34.5,14.68,-9999,0.0,0.14,0.5
2017-02-10,SPENF,35.6,14.47,-9999,0.0,0.14,0.6
2017-02-11,SPENF,36.4,14.33,-9999,0.0,0.15,0.3
2017-02-12,SPENF,39.0,13.89,-9999,0.0,0.16,0.4
2017-02-13,SPENF,38.5,13.97,-9999,0.0,0.15,0.6
2017-02-14,SPENF,36.8,14.26,-9999,0.0,0.16,0.5
2017-02-15,SPENF,36.2,14.36,-9999,0.0,0.14,0.2
2017-02-16,SPENF,37.0,14.22,-9999,0.0,0.13,0.9
2017-02-17,SPENF,34.7,14.64,-9999,0.0,0.13,0.2
2017-02-18,SPENF,35.0,14.58,-9999,0.0,0.14,0.5
2017-02-19,SPENF,37.5,14.13,-9999,0.0,0.13,0.8
2017-02-20,SPENF,35.8,14.44,-9999,0.0,0.14,0.7
2017-02-21,SPENF,33.3,14.92,-9999,0.0,0.14,0.9
