timestamp,06/09/2021 10:33,,,,,,,,,,,,,,,,,
site-id,SPENF,,,,,,,,,,,,,,,,,
site-name,Spen Farm,,,,,,,,,,,,,,,,,
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Deg Celsius,Deg Celsius,Deg Celsius,hPa,MJday-1,Deg Celsius,ms-1,mm,Deg Celsius,%,Deg Celsius,%,mm,Unitless
24/11/2016,36,0,5.5,79.7,5.4,3.1,7,1022.5,0.2,33.4,2,0.6,4.7,28.2,4.8,28.4,,0.134
25/11/2016,35.1,0,5.6,82.5,5.1,0.9,7.8,1020.5,-0.8,2.9,1.3,0.4,5,28,5.1,28.3,,0.139
26/11/2016,34.5,0,5.6,96.2,2.6,-0.5,6.3,1016.9,-0.1,291.7,1.1,0.3,3.8,27.9,3.9,28.3,,0.138
27/11/2016,34.6,0.1,6.5,87.3,6.4,5.6,7.6,1021.3,0.4,355.5,1.9,0.3,5.4,27.9,5.5,28.3,,0.143
28/11/2016,35.7,0,5,77.1,4.4,-0.3,7.8,1025.9,-1.8,1.3,1.3,0.5,4.5,27.8,4.6,28.2,,0.154
29/11/2016,37.3,0,4.3,82.5,1.2,-2.8,5.4,1027.2,-2.4,254.5,1.6,0.5,1.7,27.5,1.8,28,,0.16
30/11/2016,36.9,0.1,5.7,83.4,5,0.8,9,1025.1,-2.5,267.2,2.6,0.4,2.3,27.4,2.4,28,,0.146
01/12/2016,33.3,0,6.7,82.7,7.7,5.3,10.1,1021.8,-2.8,274.2,3.1,0.3,4.6,27.7,4.7,28.1,,0.137
02/12/2016,34.7,0.2,6.3,84.9,6.4,4.7,8,1020.9,0.4,323.3,1.5,0.3,5,27.7,5.1,28.1,,0.125
03/12/2016,32.9,0,6,89.4,4.8,3.6,5.9,1021,0,30.8,0.8,0.3,4.9,27.7,5,28.2,,0.138
04/12/2016,35.4,0,5.2,81.9,4.1,-0.5,7.3,1020.4,-1.3,83.6,1.8,0.5,4.4,27.6,4.4,28,,0.155
05/12/2016,33.4,0,4.7,97.8,-0.2,-1.3,2.2,1019,-2.1,301.5,0.8,0.2,1.7,27.3,1.8,28,,0.145
06/12/2016,35.5,1.4,5.6,100,1.9,-1,6.2,1018.7,0.8,135,1.3,0.2,2.2,27.3,2.4,28,,0.132
07/12/2016,37.1,0,8.9,87.7,11.2,6.6,14.7,1013.4,0.6,174.1,3.3,0.1,6.2,28.4,6.4,29.2,,0.142
08/12/2016,37.5,6.2,9.5,90.2,11.8,7,13.7,1014.2,-0.3,214.4,2.8,0.2,9.2,30.1,9.3,33.1,,0.155
09/12/2016,36.1,1.1,9.1,89.9,11.1,6.6,14,1013.4,-0.3,184.7,2.7,0.1,8.6,29.7,8.7,30.6,,0.107
10/12/2016,37.5,0.1,8.1,85.9,10.1,7.7,11.1,1011.8,-1.6,240.7,2.2,0.2,8.6,29.6,8.6,30.5,,0.136
11/12/2016,35.5,0,7,81,8.7,8,9.8,1014.5,-2.3,261.8,3.5,0.5,7.1,29.3,7.1,29.9,,0.129
12/12/2016,34.7,0.3,6.8,96.6,5.6,2.4,8.2,1013.9,,163.9,2,,6,28.9,6,29.5,,0.134
13/12/2016,38.9,4.6,8,99.6,7.5,6.5,8.9,1011.1,0.6,123.6,1.3,0,7,30.6,7.1,33.1,,0.124
14/12/2016,37.6,0,8.2,96.6,8.4,4.5,10.3,1011,1.9,150.5,2.9,0.5,7.2,30.4,7.3,31.7,,0.158
15/12/2016,37.8,0.8,7.4,97.3,6.8,4.3,8.2,1011.1,0.5,142.2,3.5,0.2,6.2,29.8,6.3,30.5,,0.129
