date,COSMOS VWC
2018-06-14,20.8
2018-06-15,19.4
2018-06-16,20.9
2018-06-17,20.8
2018-06-18,20.5
2018-06-19,21.2
2018-06-20,20.3
2018-06-21,18.7
2018-06-22,18.6
2018-06-23,19.6
2018-06-24,19.3
2018-06-25,18.3
2018-06-26,18.5
2018-06-27,17.3
2018-06-28,17.7
2018-06-29,18.4
2018-06-30,17.0
2018-07-01,16.6
2018-07-02,16.2
2018-07-03,16.3
2018-07-04,16.5
2018-07-05,15.8
2018-07-06,15.5
2018-07-07,15.8
2018-07-08,16.2
2018-07-09,16.8
2018-07-10,15.6
2018-07-11,15.3
2018-07-12,15.5
2018-07-13,16.0
2018-07-14,14.6
2018-07-15,14.5
2018-07-16,14.9
2018-07-17,14.1
2018-07-18,14.3
2018-07-19,14.0
2018-07-20,13.7
2018-07-21,14.3
2018-07-22,14.5
2018-07-23,13.8
2018-07-24,14.0
2018-07-25,13.7
2018-07-26,13.5
2018-07-27,15.5
2018-07-28,17.4
2018-07-29,21.9
2018-07-30,24.2
2018-07-31,22.3
2018-08-01,21.3
2018-08-02,21.2
2018-08-03,21.6
2018-08-04,19.7
2018-08-05,20.0
2018-08-06,18.9
2018-08-07,18.4
2018-08-08,17.5
2018-08-09,17.1
2018-08-10,16.4
2018-08-11,16.9
2018-08-12,18.6
2018-08-13,20.1
2018-08-14,24.6
2018-08-15,23.4
2018-08-16,21.9
2018-08-17,21.2
2018-08-18,21.3
2018-08-19,20.1
2018-08-20,20.8
2018-08-21,19.3
2018-08-22,19.3
2018-08-23,18.9
2018-08-24,18.5
2018-08-25,19.4
2018-08-26,22.2
2018-08-27,25.4
2018-08-28,23.7
2018-08-29,22.0
2018-08-30,21.0
2018-08-31,19.3
2018-09-01,19.3
2018-09-02,19.0
2018-09-03,19.0
2018-09-04,20.0
2018-09-05,18.6
2018-09-06,17.7
2018-09-07,17.6
2018-09-08,20.5
2018-09-09,23.0
2018-09-10,21.7
2018-09-11,21.0
2018-09-12,23.0
